OrderDetailID,OrderID,ProductID,Quantity,PriceEach,TotalPrice
1,109,23,3,140.6243556,421.8730668
2,144,12,1,441.9512343,441.9512343
3,82,13,4,166.2641704,665.0566817
4,224,18,2,219.3627841,438.7255682
5,256,3,4,386.1764812,1544.705925
6,183,27,4,146.6451513,586.5806052
7,174,26,3,464.0220163,1392.066049
8,164,42,1,322.3976772,322.3976772
9,68,21,3,182.7412995,548.2238985
10,129,3,1,386.1764812,386.1764812
11,249,32,4,235.2164086,940.8656345
12,36,43,3,258.1505177,774.4515531
13,141,15,1,179.5504607,179.5504607
14,192,32,3,235.2164086,705.6492259
15,103,43,4,258.1505177,1032.602071
16,2,6,4,487.4551341,1949.820536
17,279,36,1,201.683993,201.683993
18,232,25,4,224.5675782,898.2703129
19,41,26,4,464.0220163,1856.088065
20,286,48,5,388.8132485,1944.066243
21,54,30,1,476.0805682,476.0805682
22,30,28,5,479.3408898,2396.704449
23,87,2,2,255.4992244,510.9984489
24,144,5,3,172.8076988,518.4230963
25,28,25,2,224.5675782,449.1351564
26,243,26,4,464.0220163,1856.088065
27,58,9,4,182.5024562,730.0098249
28,81,28,4,479.3408898,1917.363559
29,35,2,1,255.4992244,255.4992244
30,297,24,2,344.9015017,689.8030033
31,108,48,4,388.8132485,1555.252994
32,154,46,5,169.9324815,849.6624076
33,118,7,3,484.2676791,1452.803037
34,261,48,2,388.8132485,777.6264971
35,187,29,3,361.8849759,1085.654928
36,162,14,2,380.8527447,761.7054894
37,230,36,5,201.683993,1008.419965
38,229,41,3,440.9431243,1322.829373
39,275,35,2,454.2854953,908.5709906
40,264,26,3,464.0220163,1392.066049
41,204,7,4,484.2676791,1937.070716
42,206,20,3,218.7660536,656.2981609
43,116,27,4,146.6451513,586.5806052
44,184,17,3,200.8510914,602.5532741
45,34,32,3,235.2164086,705.6492259
46,101,18,4,219.3627841,877.4511364
47,124,48,2,388.8132485,777.6264971
48,60,8,2,111.6145026,223.2290051
49,89,33,2,496.2095989,992.4191978
50,49,41,1,440.9431243,440.9431243
51,186,20,1,218.7660536,218.7660536
52,251,18,5,219.3627841,1096.81392
53,49,46,4,169.9324815,679.7299261
54,255,16,3,409.6170697,1228.851209
55,289,10,1,133.5093716,133.5093716
56,186,10,2,133.5093716,267.0187433
57,78,33,4,496.2095989,1984.838396
58,149,48,4,388.8132485,1555.252994
59,260,38,5,346.1443086,1730.721543
60,73,28,3,479.3408898,1438.022669
61,179,48,5,388.8132485,1944.066243
62,297,15,2,179.5504607,359.1009214
63,274,41,2,440.9431243,881.8862487
64,147,36,5,201.683993,1008.419965
65,285,19,5,456.0074145,2280.037073
66,131,11,1,315.5712554,315.5712554
67,220,46,1,169.9324815,169.9324815
68,103,39,1,89.87249352,89.87249352
69,204,5,3,172.8076988,518.4230963
70,82,26,1,464.0220163,464.0220163
71,138,3,5,386.1764812,1930.882406
72,277,37,1,436.2154886,436.2154886
73,93,22,5,433.7040398,2168.520199
74,21,2,1,255.4992244,255.4992244
75,198,10,2,133.5093716,267.0187433
76,146,38,5,346.1443086,1730.721543
77,238,12,3,441.9512343,1325.853703
78,163,33,5,496.2095989,2481.047994
79,17,20,2,218.7660536,437.5321073
80,24,44,1,499.5698141,499.5698141
81,84,15,2,179.5504607,359.1009214
82,203,2,5,255.4992244,1277.496122
83,238,49,3,89.5184864,268.5554592
84,132,4,1,353.5039826,353.5039826
85,261,33,4,496.2095989,1984.838396
86,92,43,2,258.1505177,516.3010354
87,218,33,4,496.2095989,1984.838396
88,51,13,5,166.2641704,831.3208521
89,41,41,2,440.9431243,881.8862487
90,159,3,3,386.1764812,1158.529444
91,68,30,5,476.0805682,2380.402841
92,251,42,3,322.3976772,967.1930316
93,216,19,2,456.0074145,912.014829
94,272,28,1,479.3408898,479.3408898
95,65,15,3,179.5504607,538.6513821
96,109,12,2,441.9512343,883.9024686
97,2,35,3,454.2854953,1362.856486
98,80,38,1,346.1443086,346.1443086
99,269,40,5,452.4008463,2262.004232
100,169,37,2,436.2154886,872.4309773
101,52,49,5,89.5184864,447.592432
102,44,19,2,456.0074145,912.014829
103,156,33,1,496.2095989,496.2095989
104,124,12,3,441.9512343,1325.853703
105,129,21,3,182.7412995,548.2238985
106,258,34,3,173.0823943,519.2471829
107,5,32,3,235.2164086,705.6492259
108,123,45,2,154.7126846,309.4253693
109,194,21,3,182.7412995,548.2238985
110,246,27,4,146.6451513,586.5806052
111,60,39,1,89.87249352,89.87249352
112,44,32,5,235.2164086,1176.082043
113,102,24,2,344.9015017,689.8030033
114,28,36,4,201.683993,806.7359719
115,92,21,2,182.7412995,365.482599
116,239,8,1,111.6145026,111.6145026
117,62,24,3,344.9015017,1034.704505
118,75,47,2,407.9476684,815.8953368
119,119,7,1,484.2676791,484.2676791
120,230,17,3,200.8510914,602.5532741
121,67,42,4,322.3976772,1289.590709
122,179,42,5,322.3976772,1611.988386
123,264,32,2,235.2164086,470.4328173
124,140,49,3,89.5184864,268.5554592
125,64,48,3,388.8132485,1166.439746
126,206,46,1,169.9324815,169.9324815
127,181,50,4,166.7262278,666.9049111
128,250,8,4,111.6145026,446.4580102
129,5,9,4,182.5024562,730.0098249
130,75,2,1,255.4992244,255.4992244
131,4,14,1,380.8527447,380.8527447
132,181,28,1,479.3408898,479.3408898
133,226,40,4,452.4008463,1809.603385
134,81,41,1,440.9431243,440.9431243
135,224,11,4,315.5712554,1262.285022
136,169,34,5,173.0823943,865.4119715
137,48,27,3,146.6451513,439.9354539
138,105,39,5,89.87249352,449.3624676
139,190,37,2,436.2154886,872.4309773
140,247,27,4,146.6451513,586.5806052
141,127,44,3,499.5698141,1498.709442
142,200,33,5,496.2095989,2481.047994
143,246,27,2,146.6451513,293.2903026
144,191,38,2,346.1443086,692.2886171
145,188,47,2,407.9476684,815.8953368
146,248,36,5,201.683993,1008.419965
147,83,23,3,140.6243556,421.8730668
148,139,12,3,441.9512343,1325.853703
149,201,43,2,258.1505177,516.3010354
150,182,3,3,386.1764812,1158.529444
151,49,44,1,499.5698141,499.5698141
152,128,23,1,140.6243556,140.6243556
153,126,34,5,173.0823943,865.4119715
154,6,3,4,386.1764812,1544.705925
155,45,32,3,235.2164086,705.6492259
156,54,39,5,89.87249352,449.3624676
157,276,23,5,140.6243556,703.1217779
158,26,29,2,361.8849759,723.7699519
159,14,7,5,484.2676791,2421.338395
160,190,23,1,140.6243556,140.6243556
161,5,43,4,258.1505177,1032.602071
162,285,48,3,388.8132485,1166.439746
163,101,48,4,388.8132485,1555.252994
164,253,38,5,346.1443086,1730.721543
165,192,40,4,452.4008463,1809.603385
166,90,28,2,479.3408898,958.6817796
167,262,15,3,179.5504607,538.6513821
168,43,21,2,182.7412995,365.482599
169,146,44,2,499.5698141,999.1396281
170,136,23,5,140.6243556,703.1217779
171,300,41,4,440.9431243,1763.772497
172,57,29,1,361.8849759,361.8849759
173,145,14,4,380.8527447,1523.410979
174,61,4,3,353.5039826,1060.511948
175,93,1,2,358.9846517,717.9693035
176,245,25,2,224.5675782,449.1351564
177,86,38,5,346.1443086,1730.721543
178,218,29,2,361.8849759,723.7699519
179,32,32,3,235.2164086,705.6492259
180,165,15,1,179.5504607,179.5504607
181,283,49,3,89.5184864,268.5554592
182,280,19,1,456.0074145,456.0074145
183,243,2,2,255.4992244,510.9984489
184,7,26,4,464.0220163,1856.088065
185,291,37,4,436.2154886,1744.861955
186,37,48,3,388.8132485,1166.439746
187,54,46,2,169.9324815,339.864963
188,64,2,3,255.4992244,766.4976733
189,265,47,4,407.9476684,1631.790674
190,195,27,3,146.6451513,439.9354539
191,139,38,5,346.1443086,1730.721543
192,141,41,4,440.9431243,1763.772497
193,251,9,1,182.5024562,182.5024562
194,54,13,3,166.2641704,498.7925112
195,9,41,5,440.9431243,2204.715622
196,104,25,5,224.5675782,1122.837891
197,121,33,5,496.2095989,2481.047994
198,228,34,3,173.0823943,519.2471829
199,180,35,3,454.2854953,1362.856486
200,76,23,3,140.6243556,421.8730668
201,195,33,3,496.2095989,1488.628797
202,101,32,3,235.2164086,705.6492259
203,4,15,1,179.5504607,179.5504607
204,239,12,1,441.9512343,441.9512343
205,171,16,5,409.6170697,2048.085349
206,21,44,2,499.5698141,999.1396281
207,20,6,5,487.4551341,2437.27567
208,102,49,4,89.5184864,358.0739456
209,197,9,1,182.5024562,182.5024562
210,156,33,3,496.2095989,1488.628797
211,164,20,5,218.7660536,1093.830268
212,60,42,5,322.3976772,1611.988386
213,131,21,1,182.7412995,182.7412995
